Id,Name,Surname,City,OfficialEmail,Birthday,SSN
900000,Ambra,Ferri,Poggio Ferro,s900000@students.politu.it,11/04/1991,MK97060783
900001,Gianfranco,Trentini,Fenestrelle,s900001@students.politu.it,12/04/1991,SP80523410
900002,Maria Rosa,Pugliesi,Villapiccola,s900002@students.politu.it,11/05/1991,ZO70355767
900003,Benito,Angelo,Appiano Strada Vino,s900003@students.politu.it,11/05/1991,FH21915512
900004,Algiso,Arcuri,Ambrogio,s900004@students.politu.it,11/06/1991,KU71485501
900005,Costantino,Genovese,Zollino,s900005@students.politu.it,12/07/1991,DZ27229300
900006,Medardo,Bianchi,San Nicolo' A Tordino,s900006@students.politu.it,12/08/1991,FO42789345
900007,Felice,Cocci,Colle,s900007@students.politu.it,11/09/1991,DC3938219
900008,Gastone,Buccho,Monte Antico,s900008@students.politu.it,11/09/1991,PN69370639
900009,Olga,Beneventi,Palmori,s900009@students.politu.it,12/09/1991,NT60462698
900010,Gavino,Angelo,St. Andra,s900010@students.politu.it,11/10/1991,BL9631314
900011,Aida,Conti,Borgetto,s900011@students.politu.it,11/11/1991,NK11964666
900012,Rosita,Trentino,Remedello,s900012@students.politu.it,11/12/1991,HO30480607
900013,Graziella,Greco,Laccio,s900013@students.politu.it,12/12/1991,YR77740469
900014,Aurelio,Lori,Arlena Di Castro,s900014@students.politu.it,01/01/1992,AS58933871
900015,Basso,Genovese,Lerino,s900015@students.politu.it,02/01/1992,KU75534392
900016,Bellina,Lorenzo,Montefortino,s900016@students.politu.it,03/01/1992,UK80463833
900017,Vera,Greece,Dragoni,s900017@students.politu.it,04/01/1992,XN19588878
900018,Uriele,Pugliesi,Frascarolo,s900018@students.politu.it,05/01/1992,FC38841318
900019,Lino,Russo,Cellere,s900019@students.politu.it,08/01/1992,PQ18972240
900020,Severino,Loggia,Calascibetta,s900020@students.politu.it,08/01/1992,MK59009960
900021,Crispino,Trentini,Coroncina,s900021@students.politu.it,09/01/1992,JT90688927
900022,Lucia,Capon,Buttapietra,s900022@students.politu.it,10/01/1992,YT6750540
900023,Mafalda,Arcuri,Montesilvano Spiaggia,s900023@students.politu.it,01/02/1992,NP15932362
900024,Nilde,Zito,Selve Marcone,s900024@students.politu.it,06/02/1992,QH39526426
900025,Eva,Trevisan,Stravino,s900025@students.politu.it,07/02/1992,HB35580590
900026,Nicla,Baresi,Montemarciano,s900026@students.politu.it,08/02/1992,BY75859842
900027,Azeglio,Ferri,Camandona,s900027@students.politu.it,10/02/1992,NJ42325066
900028,Fiorella,Lo Duca,Ancona,s900028@students.politu.it,11/02/1992,XK61804575
900029,Adalgiso,Lettiere,Riomagno,s900029@students.politu.it,12/02/1992,PR52716604
900030,Celeste,Nucci,Cicognara,s900030@students.politu.it,01/03/1992,HS55545861
900031,Adelaide,Genovese,Spoleto,s900031@students.politu.it,03/03/1992,HL79099324
900032,Violetta,Lucciano,Carcoforo,s900032@students.politu.it,11/03/1992,BV41564857
900033,Ciriaco,Cremonesi,Altidona,s900033@students.politu.it,12/03/1992,WG93330212
900034,Ivan,Piccio,Busche,s900034@students.politu.it,12/03/1992,DM68052067
900035,Fernando,Pisano,Cassano Delle Murge,s900035@students.politu.it,01/04/1992,YF90992074
900036,Simona,Colombo,Bagni Di Tivoli,s900036@students.politu.it,04/04/1992,SJ22183474
900037,Eva,Nucci,Bicinicco,s900037@students.politu.it,07/04/1992,AL88772036
900038,Venanzio,DeRose,Casali,s900038@students.politu.it,07/04/1992,OO7645178
900039,Castore,Manna,Basati,s900039@students.politu.it,08/04/1992,HE23613063
900040,Gilberto,Manfrin,Salza Di Pinerolo,s900040@students.politu.it,09/04/1992,FQ83610464
